コード,企業名,株価,時価総額（億）,発行済株式数,売上高（百万）,粗利益,営業利益,当期利益,総資産,総負債,純資産,EPS,配当金,配当利回り,PER,益回り,PBR,PBR逆数,ROE,ROA,自己資本比率,ROEx益回りx自己資本,ROE+益回り+自己資本,ROExPBR逆数x自己資本,ROE+PBR逆数+自己資本
9602,東宝,5280,9293,176329823,228367,94840,41634,29568,502532,106809,395723,194.87,47.5,0.9,27.09,3.7,2.35,42.55,7.5,5.9,78.7,2184,89.9,25115,128.8
9603,エイチ・アイ・エス,2030,1483,73951826,118563,16384,-54762,-50050,411447,370662,40785,-749.73,0,0.0,-2.71,-36.9,3.64,27.47,-122.7,-12.2,9.9,44824,-149.7,-33369,-85.3
9605,東映,19700,2366,12411042,117539,46989,16784,8978,348561,147797,200764,723.31,60.0,0.3,27.24,3.7,1.18,84.75,4.5,2.6,57.6,959,65.8,21967,146.8
9610,ウィルソン・ラーニング　ワールドワイド,181,9.22,5154038,1788,1312,-388,-313,1804,818,987,-59.76,0,0.0,-3.03,-33.0,0.93,107.53,-31.7,-17.4,54.7,57222,-10.0,-186456,130.5
9612,ラックランド,3000,306,10189730,35886,4788,-409,-120,26963,17380,9583,-49.4,25.0,0.83,-60.73,-1.6,3.19,31.35,-1.3,-0.4,35.5,74,32.6,-1447,65.5
9613,エヌ・ティ・ティ・データ,1997,28100,1402383651,2551906,676002,212590,142979,3084513,1813639,1270874,101.95,22.0,1.1,19.59,5.1,2.21,45.25,11.3,4.6,41.2,2374,57.6,21067,97.8
9616,共立メンテナンス,5070,1988,38989319,173701,22042,625,539,241723,171137,70586,13.82,20.0,0.39,366.86,0.3,2.82,35.46,0.8,0.2,29.2,7,30.3,828,65.5
9619,イチネンホールディングス,1288,305,23947891,120644,26734,8623,5646,168507,124834,43673,233.31,46.0,3.57,5.52,18.1,0.7,142.86,12.9,3.4,25.9,6047,56.9,47731,181.7
9621,建設技術研究所,2716,384,14139751,74409,20731,6777,4472,71880,33208,38672,465.99,60.0,2.21,5.83,17.2,0.99,101.01,11.6,6.2,53.8,10734,82.6,63038,166.4
9622,スペース,914,223,24533651,42408,4783,2228,1514,34615,5336,29279,64.69,36.0,3.94,14.13,7.1,0.76,131.58,5.2,4.4,84.6,3123,96.9,57885,221.4
9625,セレスポ,1102,59,5484858,27012,10500,6651,4636,15718,6454,9264,833.96,100.0,9.07,1.32,75.8,0.64,156.25,50.0,29.5,58.9,223231,184.7,460156,265.1
9627,アインホールディングス,7730,2691,35127301,316247,49972,12339,7092,212461,93537,118924,201.48,55.0,0.71,38.37,2.6,2.26,44.25,6.0,3.3,56.0,874,64.6,14868,106.2
9628,燦ホールディングス,1884,198,10612678,20001,4722,3163,2041,33847,4218,29629,187.57,42.0,2.23,10.04,10.0,0.67,149.25,6.9,6.0,87.5,6038,104.4,90110,243.7
9629,ピー・シー・エー,1223,239,19999038,13382,8809,2656,2367,28381,11101,17280,94.75,24.0,1.96,12.91,7.7,1.38,72.46,13.7,8.3,60.9,6424,82.3,60456,147.1
9631,東急レクリエーション,5040,322,6383422,22377,737,-1259,-638,44787,17250,27537,-55.45,0,0.0,-90.89,-1.1,1.17,85.47,-2.3,-1.4,61.5,156,58.1,-12090,144.7
9632,スバル興業,8870,224,2571973,28977,6038,4158,2999,34113,5511,28602,1247.43,390.0,4.4,7.11,14.1,0.78,128.21,10.5,8.8,83.8,12407,108.4,112812,222.5
9633,東京テアトル,1221,90,7417222,13056,3141,-815,826,23927,11911,12016,109.74,10.0,0.82,11.13,9.0,0.75,133.33,6.9,3.5,50.2,3117,66.1,46183,190.4
9635,武蔵野興業,2200,23,1046401,1291,687,94,50,5990,2454,3536,47.78,0,0.0,46.04,2.2,0.65,153.85,1.4,0.8,59.0,182,62.6,12708,214.2
9636,きんえい,3165,88,2792314,3001,424,133,108,5771,3549,2222,40.51,10.0,0.32,78.13,1.3,3.96,25.25,4.9,1.9,38.5,245,44.7,4763,68.7
9637,オーエス,3055,97,3175123,5571,779,558,494,31160,20388,10772,198.23,25.0,0.82,15.41,6.5,0.9,111.11,4.6,1.6,34.6,1035,45.7,17684,150.3
9640,セゾン情報システムズ,1799,297,16199416,23218,10020,2916,2051,20833,6086,14747,137.23,90.0,5.0,13.11,7.6,2.01,49.75,13.9,9.8,70.8,7479,92.3,48960,134.4
9641,サコス,430,180,41687378,17858,6626,1536,933,22313,11161,11152,20.25,7.0,1.63,21.23,4.7,1.61,62.11,8.4,4.2,50.0,1974,63.1,26086,120.5
9644,タナベ経営,693,117,17154572,10572,4786,934,604,13825,2611,11214,35.04,24.0,3.46,19.78,5.1,1.04,96.15,5.4,4.4,81.1,2233,91.6,42108,182.7
9647,協和コンサルタンツ,3200,18,584847,7330,1767,479,270,7105,4709,2396,301.37,30.0,0.94,10.62,9.4,0.75,133.33,11.3,3.8,33.7,3580,54.4,50773,178.3
9651,日本プロセス,777,75,9644094,7643,1699,688,544,11782,2106,9676,55.54,33.0,4.25,13.99,7.1,0.78,128.21,5.6,4.6,82.1,3264,94.8,58946,215.9
9656,グリーンランドリゾート,416,43,10337423,5754,583,-1441,-1477,19466,10411,9055,-137.76,4.0,0.96,-3.02,-33.1,0.47,212.77,-16.3,-7.6,46.5,25088,-2.9,-161269,243.0
9658,ビジネスブレイン太田昭和,1520,180,11910888,32346,8030,2745,1764,28296,15404,12892,148.58,51.0,3.36,10.23,9.8,1.4,71.43,13.7,6.2,45.6,6122,69.1,44624,130.7
9661,歌舞伎座,4830,586,12119913,2469,428,-119,-153,25048,13969,11079,-11.22,5.0,0.1,-430.48,-0.2,5.29,18.9,-1.4,-0.6,44.2,12,42.6,-1170,61.7
9663,ナガワ,8320,1289,15720686,30587,12521,4432,3017,55902,4894,51008,191.4,65.0,0.78,43.47,2.3,2.53,39.53,5.9,5.4,91.2,1238,99.4,21270,136.6
